skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	item proc text	item proc descline count	*eol
dragon flight	3	5	1	3	54		Skillname276	Skillsd276	Skillld276	Skillan276	15												5				74	StrSkill10	StrSkill23	toht		74	Eskillkickdamage	StrSkill23	ln12																						1	StrSkill3				36	StrSkill18		rng*2	3																																														1							0
death sentry	1	6	3	1	16		Skillname277	Skillsd277	Skillld277	Skillan277	5																1	StrSkill3				36	StrSkill18		rng	3	75	StrSkill7		edmn	edmx																75	Corexpdam		skill('mon death sentry'.par1)	skill('mon death sentry'.par2)	74	ESkillShoots		par1		5	StrSkill216		pets		18	StrSkill293				40	Sksyn	Skillname277	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname272	par8		76	Ltngdplev	Skillname273	par8												38	Corexpdam	StrSkill215	skill('mon death sentry'.par1)	skill('mon death sentry'.par2)			0
blade shield	1	2	1	1	18		Skillname278	Skillsd278	Skillld278	Skillan278	5																1	StrSkill3				36	StrSkill20		len	25	75	StrSkill7		edmn	edmx	75	StrSkill4		pnma	pxma											74	WeapDamsk		25																	40	Sksyn	Skillname278	2		76	Secplev2	Skillname258	par2/25		76	Alldplev	Skillname258	par8		76	Alldplev	Skillname267	par8		76	Alldplev	Skillname252	par8		76	Alldplev	Skillname257	par8							74	WeapDamsk		25				0
venom	2	5	1	2	28		Skillname279	Skillsd279	Skillld279	Skillan279																	1	StrSkill3				36	StrSkill20		len	25	36	StrSkill63		edln	25	75	StrSkill8		edns*edln/256	edxs*edln/256																															40	Sksyn	Skillname279	2		76	Secplev2	Skillname259	par2/25		76	Secplev2	Skillname268	par2/25		76	Secplev2	Skillname392	par2/25		76	Poisdplev	Skillname265	par8		76	Poisdplev	Skillname267	par8														0
shadow master	2	5	3	2	32		Skillname280	Skillsd280	Skillld280	Skillan280																	1	StrSkill3				74	StrSkill54	StrSkill23	pst1		4	StrSkill208		ast1		74	StrSkill4D	StrSkill23	ast3		74	StrSkill31	StrSkill23	ast2		13	StrSkill42		(lvl-1)*par1		5	StrSkill156		min(ln56-par6,99)		18	StrSkill157				5	ESkillShadow		pets							40	Sksyn	Skillname280	2		76	Defplev	Skillname269	par3		76	AttRateFlatplev	Skillname269	par2		74	SWStrDexBonus		10		76	CBplev	Skillname263	1		76	StrSkill249	Skillname263	2		71	Skillname263	Warrplev	25		5	StrSkill156		min(ln56-par6,99)				0
royal strike	3	6	3	3	56		Skillname281	Skillsd281	Skillld281	Skillan281	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	2	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	74	StrSkill10	StrSkill23	toht		75	Eskillphoenix3		m3en	m3ex	75	Eskillphoenix2		m2en	m2ex	75	StrSkill83PS		miss('royalstrikemeteorfire'.edns)*75/256	miss('royalstrikemeteorfire'.edxs)*75/256	75	Eskillphoenix1		m1en	m1ex						1	StrSkill3				36	StrSkill20		len	25											40	Sksyn	Skillname281	2		76	Alldplev	Skillname260	par8		76	Alldplev	Skillname270	par8		76	Alldplev	Skillname275	par8		76	Alldplev	Skillname261	par8		76	Alldplev	Skillname276	par8		76	Alldplev	Skillname394	par8		1							0
delerium change	0	0	0	0	2		Runeword22	Runeword22	Runeword22	Runeword22																																																																																																													0
eagleeye	2	5	2	2	60		Skillname362	Skillsd362	Skillld362	Skillan362																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkill106	StrSkill23	-max(50,80-lvl/2)		74	StrSkill154	StrSkill23	ast3		74	StrSkill4D	StrSkill23	ast2																											40	Sksyn	Skillname362	2		76	Secplev2	skillname8	par6/25		76	Secplev2	skillname17	par6/25																													0
legendary arrow	1	5	1	1	64		Skillname363	Skillsd363	Skillld363	Skillan363	7	clc1															74	StrSkill4D	StrSkill23	clc1																											1	StrSkill3				74	WeapDamsk		50												40	Sksyn	Skillname363	2		76	Damplev	skillname6	par8		76	Damplev	skillname12	par8		76	Damplev	skillname22	par8		76	Damplev	skillname26	par8												1							0
dance of death	3	5	1	3	62		Skillname364	Skillsd364	Skillld364	Skillan364	1	clc1											1				1	StrSkill3				36	StrSkill48		edln	25	74	StrSkill4D	StrSkill23	clc1		74	StrSkill10	StrSkill23	toht																																40	Sksyn	Skillname364	2		76	Damplev	skillname10	par8		76	Damplev	skillname14	par8		76	Damplev	skillname19	par8		76	Damplev	skillname34	par8		76	Damplev	skillname24	par8														0
sfire wall	2	4	2	2	66		Skillname365	Skillsd365	Skillld365	Skillan365	9													sfirewallmaker			1	StrSkill3				36	StrSkill26		miss(‘sfirewallmaker’.range)*2	3	75	StrSkillFireDamageAveragePerSecond		edns*14/3/16	edxs*14/3/16	36	StrSkill82		miss('sfirewall'.range)	25																															40	Sksyn	Skillname365	2		76	Firedplev	skillname27	par8		76	Firedplev	skillname16	par8		76	Firedplev	skillname14	par8		76	Firedplev	skillname15	par8		76	Firedplev	Skillname366	par8		76	Firedplev	skillname28	par8									0
sfrost nova	2	1	2	2	68		Skillname366	Skillsd366	Skillld366	Skillan366	5																1	StrSkill3				36	StrSkill13		edln	25	75	StrSkill6		edmn	edmx																																				40	Sksyn	Skillname366	2		76	Colddplev	skillname11	par8		76	Colddplev	skillname31	par8		76	Colddplev	skillname20	par8		76	Colddplev	Skillname365	par8		76	Colddplev	skillname28	par8														0
timestop	2	5	2	2	60		Skillname367	Skillsd367	Skillld367	Skillan367																	1	StrSkill3				36	StrSkill62		len	25																					19	StrSkill18		ln12																																																				19	StrSkill18		ln12				0
fanatic swing	1	3	2	1	62		Skillname368	Skillsd368	Skillld368	Skillan368	7	clc2											2				74	StrSkill11		clc1		74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc2		10															1	StrSkill3																			40	Sksyn	Skillname368	2		76	Damplev	skillname37	par8		76	Damplev	Skillname371	par8		76	Firedplev	skillname52	par8		76	Firedplev	skillname57	par8												1							0
aerial shield	3	2	3	3	64		Skillname369	Skillsd369	Skillld369	Skillan369																	36	StrSkill20		len	25	74	StrSkill159	StrSkill23	ast4		74	StrSkillRD	StrSkill23	ast5		74	StrSkill162	StrSkill23	ast3		74	StrSkill161	StrSkill23	ast2		4	StrSkill160		ast1		18	StrSkill282				1															40	Sksyn	Skillname369	2		76	Secplev2	skillname40	par6/25		76	Secplev2	skillname60	par6/25		76	Secplev2	skillname50	par6/25																	18	StrSkill282						0
seruption	1	2	1	1	66		Skillname370	Skillsd370	Skillld370	Skillan370	5													serruption center			1	StrSkill3				23	StrSkill20				10																																								40	Sksyn	Skillname370	2		76	Firedplev	skillname46	par8		76	Firedplev	skillname51	par8		76	Firedplev	skillname48	par8																								0
stwister	3	2	1	3	68		Skillname371	Skillsd371	Skillld371	Skillan371	5																1	StrSkill3				9					5	ESkillMiss		clc1																	12	StrSkill48		par2																	40	Sksyn	Skillname371	2		76	Damplev	skillsname61	par8		76	Damplev	skillname65	par8		76	Damplev	skillname63	par8																	12	StrSkill48		par2		SkillItemMetamorphosisBear	3	0
poisonmastery	1	6	3	1	60		Skillname372	Skillsd372	Skillld372	Skillan372																	36	StrSkill20		len	25	19	StrSkill18		rng		74	StrSkill191	StrSkill23	ast1																	1	StrSkill3																			40	Sksyn	Skillname372	2		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		76	Respmplev	skillname89	-par7												1					SkillItemMetamorphosisWolf	3	0
killer scythe	2	1	3	2	62		Skillname373	Skillsd373	Skillld373	Skillan373	7	clc2											1				74	StrSkill4	StrSkill23	clc2		74	StrSkill10	StrSkill23	toht																						18	StrSkill270				1															40	Sksyn	Skillname373	2		76	Damplev	skillname73	par8		76	Damplev	skillname68	par8		76	Damplev	skillname78	par8		76	Damplev	skillname88	par8		76	Damplev	skillname67	par8							18	StrSkill270						0
hells gate	2	6	1	2	64		Skillname374	Skillsd374	Skillld374	Skillan374	5																1	StrSkill3				10																																													40	Sksyn	Skillname374	2		76	Magdplev	skillname84	par8		76	Magdplev	skillname93	par8		76	Magdplev	skillname67	par8		76	Magdplev	skillname92	par8																			0
shydra	3	6	2	3	66		Skillname375	Skillsd375	Skillld375	Skillan375	5																1	StrSkill3				24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	Skillname375	2		76	Firedplev	skillname94	par8		76	Firedplev	skillname80	par8																													0
sblade fury	1	4	3	1	68		Skillname376	Skillsd376	Skillld376	Skillan376	24																61	StrSkill3	EskillPerBlade	usmc	10	9																									5	StrSkill115		par3		74	WeapDamsk		62.5																																															5	StrSkill115		par3				0
auraofdivinity	3	5	3	3	60		Skillname377	Skillsd377	Skillld377	Skillan377																	74	StrSkill124	StrSkill23	ast2		19	StrSkill18		rng																						4	StrSkill121		ast1		18	StrSkill214																																																	4	StrSkill121		ast1				0
arrow of confession	1	1	2	1	62		Skillname378	Skillsd378	Skillld378	Skillan378	6												1				5	StrSkill166		ast2/2		74	StrSkill10	StrSkill23	toht		10																				18	StrSkill271				1					18	ModitemSMRIP									40	Sksyn	Skillname378	2		76	Magdplev	Skillname379	par8*2		76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		76	Magdplev	Skillname380	par8							18	StrSkill271						0
sacred piercer	1	6	3	1	64		Skillname379	Skillsd379	Skillld379	Skillan379	6												1				1	StrSkill3				74	StrSkill10	StrSkill23	ast3		74	StrSkill169	StrSkill23	ast2		74	StrSkill168	StrSkill23	ast1		74	StrSkill167	StrSkill23	min(100,(skill('Sacred Piercer'.blvl)+skill('Arrow of Confession'.blvl))*par2)							18	StrSkill271				74	WeapDamsk		50												40	Sksyn	Skillname379	2		76	Skillname378	StrSkill249	par7		76	DamDUplev	Skillname378	par8*2		76	DamDUplev	skillname101	par8		76	DamDUplev	skillname112	par8		76	DamDUplev	skillname121	par8		76	DamDUplev	Skillname380	par8		18	StrSkill271						0
sgrim ward	3	4	3	3	66		Skillname380	Skillsd380	Skillld380	Skillan380																	19	StrSkill18		rng																											1	StrSkill3				12	StrSkill20		clc1																																															1							0
ssummon grizzly	2	5	2	2	68		Skillname381	Skillsd381	Skillld381	Skillan381																	1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill208		clc4		9			pst2		5	StrSkill21		clc3		13	StrSkill42		clc1		5	ESkillABear		pets																	40	Sksyn	Skillname381	2		25	Bearplev	Skillname380																												5	ESkillABear		pets				0
elementalmastery	3	6	1	3	62		Skillname382	Skillsd382	Skillld382	Skillan382																	36	StrSkill20		len	25	74	StrSkill198	StrSkill23	ast5		74	StrSkill54	StrSkill23	ast1																	1	StrSkill3																			40	Sksyn	Skillname382	2		76	Secplev2	skillname137	par8/25		76	Secplev2	skillname130	par8/25		76	Secplev2	skillname153	par8/25																	1							0
phantom hatchets	1	3	2	1	66		Skillname383	Skillsd383	Skillld383	Skillan383	5												1				1	StrSkill3				74	StrSkill231		clc3		74	StrSkill205		clc1		9															18	StrSkill230				74	WeapDamsk		75																																															18	StrSkill230						0
berserk fury	1	6	2	1	68		Skillname384	Skillsd384	Skillld384	Skillan384	22																1	StrSkill3				75	StrSkill7		edmn	edmx	74	StrSkill72b		clc1																																					40	Sksyn	Skillname384	2		76	Magdplev	skillname150	par8		76	Magdplev	skillname140	par8		76	Magdplev	Skillname383	par8		76	Magdplev	skillname152	par8																			0
snova	2	4	3	2	70		Skillname385	Skillsd385	Skillld385	Skillan385	5																1	StrSkill3				75	StrSkill7		edmn	edmx																																									40	Sksyn	Skillname385	2		76	Ltngdplev	skillname127	par8		76	Ltngdplev	skillname128	par8		76	Ltngdplev	skillname129	par8		76	Ltngdplev	skillname134	par8		76	Ltngdplev	Skillname386	par8		76	Ltngdplev	skillname154	par8									0
sthunder storm	2	6	3	2	72		Skillname386	Skillsd386	Skillld386	Skillan386	5																1	StrSkill3				75	StrSkill7		edmn	edmx	36	StrSkill20		len	25																																				40	Sksyn	Skillname386	2		76	Ltngdplev	skillname128	par8		76	Ltngdplev	skillname129	par8		76	Ltngdplev	skillname134	par8		76	Ltngdplev	Skillname385	par8																			0
sandstorm	3	6	2	3	60		Skillname387	Skillsd387	Skillld387	Skillan387	5																1	StrSkill3				9					10																																								40	Sksyn	Skillname387	2		76	Damplev	Skillname236	par8		76	Damplev	Skillname231	par8		76	Damplev	Skillname251	par8		76	Damplev	Skillname246	par8																			0
iron claws	2	3	2	2	62		Skillname388	Skillsd388	Skillld388	Skillan388	7	clc1											1				74	StrSkill219		ast3		74	StrSkill221		ast4		74	StrSkill218		ast1		74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1							1	StrSkill3				18	ModStr3y														40	Sksyn	Skillname388	2		76	Damplev	Skillname233	par8		76	Damplev	Skillname234	par8		76	Damplev	Skillname240	par8		76	Damplev	Skillname249	par8		76	Damplev	Skillname390	par8							1							0
cow balloon	1	1	1	1	64		Skillname389	Skillsd389	Skillld389	Skillan389																	1	StrSkill3				5	StrSkill235		ast1		5	StrSkill236		ast2		12	StrSkill20		clc2		5	ESkillBalloons		pets							3	StrSkill42	StrSkill155	(100+clc1)*par3/100		18	StrSkill237														40	Sksyn	Skillname389	2		76	Damplev	Skillname247	par8		76	Ltngdplev	Skillname390	par8																						3	StrSkill42	StrSkill155	(100+clc1)*par3/100				0
scharged strike	2	6	2	2	66		Skillname390	Skillsd390	Skillld390	Skillan390	17																1	StrSkill3				10					9					74	StrSkill72cb		clc1																																40	Sksyn	Skillname390	2		76	Ltngdplev	Skillname389	par8*2		76	Ltngdplev	Skillname240	par8		76	Ltngdplev	Skillname388	par8																								0
sbone spear	3	2	1	3	68		Skillname391	Skillsd391	Skillld391	Skillan391	5																1	StrSkill3				11					10					9					74	StrSkill10	StrSkill23	toht																											40	Sksyn	Skillname391	2		76	Magdplev	Skillname235	par8		76	Magdplev	Skillname250	par8		76	Magdplev	Skillname241	par8		76	Magdplev	Skillname231	par8		76	Magdplev	Skillname246	par8		76	Magdplev	Skillname387	par8									0
shadearmor	2	6	1	2	60		Skillname392	Skillsd392	Skillld392	Skillan392																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkillRD	StrSkill23	ast2		74	StrSkill21	StrSkill23	ast1												18	StrSkill284																			40	Sksyn	Skillname392	2		76	Secplev2	Skillname259	par6/25		76	Secplev2	Skillname260	par6/25		76	Secplev2	Skillname279	par6/25																	18	StrSkill284						0
shuriken	3	6	2	3	62		Skillname393	Skillsd393	Skillld393	Skillan393	7	clc2											1				74	StrSkill10	StrSkill23	toht							74	StrSkill86		clc1																	1	StrSkill3																			40	Sksyn	Skillname393	2		76	Damplev	Skillname394	par8		76	Damplev	Skillname266	par8		76	Damplev	Skillname258	par8		76	Damplev	Skillname278	par8												1							0
iaigiri	3	2	2	3	64		Skillname394	Skillsd394	Skillld394	Skillan394	7	clc1											1				1	StrSkill3				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																	74	StrSkill31	StrSkill23	ast1		74	StrSkill39	StrSkill23	clc4		18	StrSkill264				74	WeapDamsk		125		40	Sksyn	Skillname394	2		76	Damplev	Skillname266	par8		76	Damplev	Skillname393	par8		76	Damplev	Skillname255	par8		76	Damplev	Skillname281	par8												2	StrSkill31	StrSkill23	ast1				0
steeth	1	3	2	1	66		Skillname395	Skillsd395	Skillld395	Skillan395	5																1	StrSkill3				75	StrSkill6		edmn	edmx	74	StrSkill28		clc1																																					40	Sksyn	Skillname395	2		76	Colddplev	Skillname252	par8		76	Colddplev	Skillname396	par8		76	Colddplev	Skillname257	par7		76	Colddplev	Skillname262	par7		76	Colddplev	Skillname272	par7		76	Colddplev	Skillname273	par7									0
scold missiles	1	5	2	1	68		Skillname396	Skillsd396	Skillld396	Skillan396	5													cold wave maker			1	StrSkill3				36	StrSkill13		edln	25	75	StrSkill6		edmn	edmx																																				40	Sksyn	Skillname396	2		76	Colddplev	Skillname252	par8		76	Colddplev	Skillname395	par8		76	Colddplev	Skillname257	par7		76	Colddplev	Skillname262	par7		76	Colddplev	Skillname272	par7		76	Colddplev	Skillname273	par7									0
unicharmchk	0	0	0	0	0		unicharm	unicharm	unicharm	unicharm																																																																																																													0
damage bonus 1	0	0	0	0	0		damage bonus 1	damage bonus 1	damage bonus 1	damage bonus 1																																																																																																													0
damage bonus 2	0	0	0	0	0		damage bonus 2	damage bonus 2	damage bonus 2	damage bonus 2																																																																																																													0
diabloset	0	0	0	2	16		morphing	morphdesc1	morphdesc1	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
wavesset	0	0	0	2	16		morphing	morphdesc2	morphdesc2	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
noirset	0	0	0	2	16		morphing	morphdesc3	morphdesc3	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
ihsanset	0	0	0	2	16		morphing	morphdesc4	morphdesc4	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
lichset	0	0	0	2	16		morphing	morphdesc5	morphdesc5	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
brotherset	0	0	0	2	16		morphing	morphdesc6	morphdesc6	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
kainset	0	0	0	2	16		morphing	morphdesc7	morphdesc7	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
griffithset	0	0	0	2	16		morphing	morphdesc8	morphdesc8	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
jadeset	0	0	0	2	16		morphing	morphdesc9	morphdesc9	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
arionset	0	0	0	2	16		morphing	morphdesc10	morphdesc10	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
natureset	0	0	0	2	16		morphing	morphdesc11	morphdesc11	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
cowset	0	0	0	2	16		morphing	morphdesc12	morphdesc12	morphing																	74	StrSkill89	StrSkill23	ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1							36	StrSkill20		len	25	74	StrSkill42	StrSkill23	ast5																																															36	StrSkill20		len	25			0
damage bonus 3	0	0	0	0	0		damage bonus 3	damage bonus 3	damage bonus 3	damage bonus 3																																																																																																													0
general passive	0	0	0	0	0		Skillname446	Skillname446	Skillname446	Skillname446																																																																																																													0
2h melee passive	0	0	0	0	0		Skillname445	Skillname445	Skillname445	Skillname445																																																																																																													0
swearbear	0	0	0	2	24		Skillname452	Skillsd452	Skillsd452	Skillname452																	1	StrSkill3				36	StrSkill20		len	25	4	StrSkill276		ast4		74	StrSkill21	StrSkill23	ast2		74	StrSkill4D	StrSkill23	ast1		74	StrSkill42	StrSkill23	ast5		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	ast6		5	StrSkill287		skill('Wearbear'.lvl)																																										2	StrSkill106	StrSkill23	ast3				0
kcounter	0	0	0	0	0		kcounter	kcounter	kcounter	kcounter																																																																																																													0
general passive bar	0	0	0	0	0		Skillname451	Skillname451	Skillname451	Skillname451																																																																																																													0
